trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
SAup01,11:30:00,11:30:00,NAXOS,101,,,,
SAup01,11:32:00,11:32:00,TAISSOUNIERES,102,,,,
SAup01,11:35:00,11:35:00,CLARA,103,,,,
SAup01,11:40:00,11:40:00,MAIN_SITE,104,,,,
SAup02,11:55:00,11:55:00,NAXOS,105,,,,
SAup02,11:57:00,11:57:00,TAISSOUNIERES,106,,,,
SAup02,12:00:00,12:00:00,CLARA,107,,,,
SAup02,12:05:00,12:05:00,MAIN_SITE,108,,,,
SAup03,12:20:00,12:20:00,NAXOS,109,,,,
SAup03,12:22:00,12:22:00,TAISSOUNIERES,110,,,,
SAup03,12:25:00,12:25:00,CLARA,111,,,,
SAup03,12:30:00,12:30:00,MAIN_SITE,112,,,,
SAup04,12:52:00,12:52:00,NAXOS,113,,,,
SAup04,12:54:00,12:54:00,TAISSOUNIERES,114,,,,
SAup04,12:57:00,12:57:00,CLARA,115,,,,
SAup04,13:02:00,13:02:00,MAIN_SITE,116,,,,
SAup05,13:15:00,13:15:00,NAXOS,117,,,,
SAup05,13:17:00,13:17:00,TAISSOUNIERES,118,,,,
SAup05,13:20:00,13:20:00,CLARA,119,,,,
SAup05,13:25:00,13:25:00,MAIN_SITE,120,,,,
SAup06,13:40:00,13:40:00,NAXOS,121,,,,
SAup06,13:42:00,13:42:00,TAISSOUNIERES,122,,,,
SAup06,13:45:00,13:45:00,CLARA,123,,,,
SAup06,13:50:00,13:50:00,MAIN_SITE,124,,,,
SAup07,14:05:00,14:05:00,NAXOS,125,,,,
SAup07,14:07:00,14:07:00,TAISSOUNIERES,126,,,,
SAup07,14:10:00,14:10:00,CLARA,127,,,,
SAup07,14:15:00,14:15:00,MAIN_SITE,128,,,,
SAdown01,11:40:00,11:40:00,MAIN_SITE,201,,,,
SAdown01,11:45:00,11:45:00,CLARA,202,,,,
SAdown01,11:48:00,11:48:00,DRAKKAR,203,,,,
SAdown01,11:50:00,11:50:00,TAISSOUNIERES,204,,,,
SAdown01,11:52:00,11:52:00,NAXOS,205,,,,
SAdown02,12:05:00,12:05:00,MAIN_SITE,206,,,,
SAdown02,12:10:00,12:10:00,CLARA,207,,,,
SAdown02,12:13:00,12:13:00,DRAKKAR,208,,,,
SAdown02,12:15:00,12:15:00,TAISSOUNIERES,209,,,,
SAdown02,12:17:00,12:17:00,NAXOS,210,,,,
SAdown03,12:30:00,12:30:00,MAIN_SITE,211,,,,
SAdown03,12:35:00,12:35:00,CLARA,212,,,,
SAdown03,12:38:00,12:38:00,DRAKKAR,213,,,,
SAdown03,12:40:00,12:40:00,TAISSOUNIERES,214,,,,
SAdown03,12:42:00,12:42:00,NAXOS,215,,,,
SAdown04,13:02:00,13:02:00,MAIN_SITE,216,,,,
SAdown04,13:07:00,13:07:00,CLARA,217,,,,
SAdown04,13:10:00,13:10:00,DRAKKAR,218,,,,
SAdown04,13:12:00,13:12:00,TAISSOUNIERES,219,,,,
SAdown04,13:14:00,13:14:00,NAXOS,220,,,,
SAdown05,13:25:00,13:25:00,MAIN_SITE,221,,,,
SAdown05,13:30:00,13:30:00,CLARA,222,,,,
SAdown05,13:33:00,13:33:00,DRAKKAR,223,,,,
SAdown05,13:35:00,13:35:00,TAISSOUNIERES,224,,,,
SAdown05,13:37:00,13:37:00,NAXOS,225,,,,
SAdown06,13:50:00,13:50:00,MAIN_SITE,226,,,,
SAdown06,13:55:00,13:55:00,CLARA,227,,,,
SAdown06,11:58:00,11:58:00,DRAKKAR,228,,,,
SAdown06,14:00:00,14:00:00,TAISSOUNIERES,229,,,,
SAdown06,14:02:00,14:02:00,NAXOS,230,,,,
SAdown07,14:15:00,14:15:00,MAIN_SITE,231,,,,
SAdown07,14:20:00,14:20:00,CLARA,232,,,,
SAdown07,14:23:00,14:23:00,DRAKKAR,233,,,,
SAdown07,14:25:00,14:25:00,TAISSOUNIERES,234,,,,
SAdown07,14:27:00,14:27:00,NAXOS,235,,,,
SBup01,11:30:00,11:30:00,GREEN_SIDE_15,101,,,,
SBup01,11:33:00,11:33:00,TEMPLIERS,102,,,,
SBup01,11:38:00,11:38:00,MAIN_SITE,103,,,,
SBup02,11:50:00,11:50:00,GREEN_SIDE_15,104,,,,
SBup02,11:53:00,11:53:00,TEMPLIERS,105,,,,
SBup02,11:58:00,11:58:00,MAIN_SITE,106,,,,
SBup03,12:10:00,12:10:00,GREEN_SIDE_15,107,,,,
SBup03,12:13:00,12:13:00,TEMPLIERS,108,,,,
