shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SB1,43.62299002,7.07136998,1,
SB1,43.62273001,7.072319984,2,
SB1,43.62237202,7.073109979,3,
SB1,43.62214998,7.073460007,4,
SB1,43.62158999,7.074110024,5,
SB1,43.62105899,7.07454999,6,
SB1,43.62065901,7.074779989,7,
SB1,43.62044896,7.074870011,8,
SB1,43.61970096,7.075030021,9,
SB1,43.61901901,7.075000014,10,
SB1,43.618629,7.074900018,11,
SB1,43.61753097,7.074489975,12,
SB1,43.617378,7.07437003,13,
SB1,43.617321,7.074219994,14,
SB1,43.617321,7.074219994,15,
SB1,43.61732896,7.073920006,16,
SB1,43.61728999,7.073790003,17,
SB1,43.617149,7.073609959,18,
SB1,43.61696997,7.07359001,19,
SB1,43.61685899,7.073639967,20,
SB1,43.61674902,7.07382001,21,
SB1,43.61669202,7.074020002,22,
SB1,43.61666897,7.074300041,23,
SB1,43.61658096,7.074429961,24,
SB1,43.61590999,7.07465996,25,
SB1,43.61590999,7.07465996,26,
SB1,43.61582198,7.074579997,27,
SB1,43.61582198,7.074579997,28,
SB1,43.615768,7.074610004,29,
SB1,43.61574898,7.074719975,30,
SB1,43.61574898,7.074719975,31,
SB1,43.61584897,7.074800022,32,
SB1,43.61656998,7.07454999,33,
SB1,43.61669898,7.074570023,34,
SB1,43.61669898,7.074570023,35,
SB1,43.61682898,7.074749982,36,
SB1,43.61705001,7.074770015,37,
SB1,43.61718002,7.07465996,38,
SB1,43.61731002,7.07431999,39,
SB1,43.61732896,7.073920006,40,
SB1,43.617249,7.073729988,41,
SB1,43.61719896,7.073360011,42,
SB1,43.617249,7.073009983,43,
SB1,43.61745796,7.072410006,44,
SB1,43.61758,7.071899967,45,
SB1,43.61761102,7.07158003,46,
SB1,43.61758,7.070860025,47,
SB1,43.61758,7.070860025,48,
SB1,43.61764102,7.070660032,49,
SB1,43.61759903,7.070519971,50,
SB1,43.61797001,7.069229996,51,
SB1,43.61809901,7.068909975,52,
SB1,43.61846203,7.068240009,53,
SB1,43.62063998,7.06477996,54,
SB1,43.62073101,7.064620033,55,
SB1,43.62089203,7.064060038,56,
SB1,43.62089203,7.064060038,57,
SB1,43.62099797,7.063949984,58,
SB1,43.62109001,7.063700035,59,
SB1,43.62120803,7.063589981,60,
SB1,43.62247101,7.062569987,61,
SB1,43.622959,7.06230998,62,
SB1,43.62316101,7.062119963,63,
SB1,43.62328003,7.061940003,64,
SB1,43.62345899,7.061519986,65,
SB1,43.62377197,7.060469985,66,
SB1,43.623951,7.060100008,67,
SB1,43.623951,7.060100008,68,
SB1,43.62403901,7.060039993,69,
SB1,43.62408101,7.059870008,70,
SB1,43.62403097,7.059760038,71,
SB1,43.62391999,7.059700023,72,
SB1,43.62381002,7.059809994,73,
SB1,43.62379099,7.059970004,74,
SB1,43.623821,7.060200004,75,
SB1,43.62377197,7.060469985,76,
SB1,43.62348204,7.061410015,77,
SB1,43.62321096,7.06186004,78,
SB1,43.62321096,7.06186004,79,
SB1,43.62309999,7.06197001,80,
SB1,43.62271098,7.062130021,81,
SB2,43.62271098,7.062130021,0,
SB2,43.622841,7.06206,1,
SB2,43.622681,7.06214,2,
SB2,43.622631,7.06228,3,
SB2,43.622372,7.0625,4,
SB2,43.622372,7.0625,5,
SB2,43.621868,7.06285,6,
SB2,43.62109,7.06353,7,
SB2,43.62096,7.06357,8,
SB2,43.62096,7.06357,9,
SB2,43.62077,7.06355,10,
SB2,43.62067,7.06371,11,
SB2,43.620659,7.06384,12,
SB2,43.620739,7.06412,13,
SB2,43.620739,7.06429,14,
SB2,43.62064,7.06478,15,
SB2,43.618462,7.06824,16,
SB2,43.618031,7.06908,17,
SB2,43.617722,7.07006,18,
SB2,43.617611,7.07029,19,
SB2,43.617481,7.07042,20,
SB2,43.617481,7.07042,21,
SB2,43.61739,7.07042,22,
SB2,43.617279,7.07055,23,
SB2,43.617249,7.0716,24,
SB2,43.61718,7.07201,25,
SB2,43.61697,7.07273,26,
SB2,43.61694,7.07292,27,
SB2,43.61697,7.07344,28,
SB2,43.616901,7.07362,29,
SB2,43.616901,7.07362,30,
SB2,43.616749,7.07382,31,
SB2,43.616692,7.07402,32,
SB2,43.616669,7.0743,33,
SB2,43.616562,7.07445,34,
SB2,43.61594,7.07466,35,
SB2,43.615849,7.0746,36,
SB2,43.615849,7.0746,37,
SB2,43.615822,7.07458,38,
SB2,43.615822,7.07458,39,
SB2,43.615768,7.07461,40,
SB2,43.615749,7.07472,41,
SB2,43.615749,7.07472,42,
SB2,43.615849,7.0748,43,
SB2,43.61657,7.07455,44,
SB2,43.616699,7.07457,45,
SB2,43.616699,7.07457,46,
SB2,43.616829,7.07475,47,
SB2,43.616989,7.07479,48,
SB2,43.61718,7.07466,49,
SB2,43.617241,7.07453,50,
SB2,43.61742,7.07447,51,
SB2,43.618752,7.07494,52,
SB2,43.61932,7.07503,53,
SB2,43.619701,7.07503,54,
SB2,43.620449,7.07487,55,
SB2,43.621059,7.07455,56,
SB2,43.62183,7.07387,57,
SB2,43.622372,7.07311,58,
SB2,43.62265,7.0725,59,
SB2,43.62299002,7.07136998,60,
SA1,43.62291,7.06202,1,
SA1,43.62291,7.06202,2,
SA1,43.622669,7.06174,3,
SA1,43.62254,7.06151,4,
SA1,43.62254,7.06151,5,
SA1,43.622822,7.06127,6,
SA1,43.62294,7.06103,7,
SA1,43.622978,7.06074,8,
SA1,43.622849,7.05998,9,
SA1,43.622929,7.05956,10,
SA1,43.623051,7.05931,11,
SA1,43.623138,7.0592,12,
SA1,43.623402,7.05903,13,
SA1,43.624081,7.05889,14,
SA1,43.624081,7.05889,15,
SA1,43.624222,7.05854,16,
SA1,43.624592,7.05813,17,
SA1,43.624741,7.05786,18,
SA1,43.624779,7.05717,19,
SA1,43.624779,7.05717,20,
SA1,43.624962,7.05678,21,
SA1,43.625198,7.05652,22,
SA1,43.62664,7.05539,23,
SA1,43.626751,7.05521,24,
SA1,43.626831,7.05486,25,
SA1,43.627048,7.0531,26,
SA1,43.62706,7.05283,27,
SA1,43.626968,7.05257,28,
SA1,43.626968,7.05257,29,
SA1,43.626968,7.05244,30,
SA1,43.626911,7.05233,31,
SA1,43.626751,7.05232,32,
SA1,43.626678,7.05242,33,
SA1,43.626678,7.05258,34,
SA1,43.626499,7.05287,35,
SA1,43.626499,7.05287,36,
SA1,43.626499,7.05287,37,
SA1,43.626549,7.05278,38,
SA1,43.626732,7.05268,39,
SA1,43.626732,7.05268,40,
SA1,43.62682,7.05273,41,
SA1,43.62693,7.05267,42,
SA1,43.62698,7.05253,43,
SA1,43.626968,7.05244,44,
SA1,43.626911,7.05233,45,
SA1,43.626511,7.05211,46,
SA1,43.626362,7.05194,47,
SA1,43.626282,7.05176,48,
SA1,43.625992,7.05066,49,
SA1,43.6259,7.05046,50,
SA1,43.625641,7.05009,51,
SA1,43.625332,7.0498,52,
SA1,43.624821,7.04959,53,
SA1,43.624378,7.04959,54,
SA1,43.624001,7.04967,55,
SA1,43.624001,7.04967,56,
SA1,43.623989,7.04959,57,
SA1,43.62384,7.04946,58,
SA1,43.623749,7.04926,59,
SA1,43.623669,7.04865,60,
SA1,43.623951,7.04763,61,
SA1,43.623981,7.04716,62,
SA1,43.62389,7.04664,63,
SA1,43.623741,7.04623,64,
SA1,43.623692,7.04565,65,
SA1,43.623711,7.0455,66,
SA1,43.623631,7.04532,67,
SA1,43.623611,7.04515,68,
SA1,43.623692,7.04492,69,
SA1,43.62389,7.04469,70,
SA1,43.624249,7.04445,71,
SA1,43.624531,7.04436,72,
SA1,43.624531,7.04436,73,
SA1,43.624531,7.04519,74,
SA1,43.624641,7.04533,75,
SA1,43.624901,7.0454,76,
SA1,43.624905,7.045403,77,
SA1,43.624901,7.0454,78,
SA1,43.624641,7.04533,79,
SA1,43.624531,7.04519,80,
SA1,43.624531,7.04436,81,
SA1,43.624531,7.04436,82,
SA1,43.625011,7.04438,83,
SA1,43.625011,7.04438,84,
SA1,43.625191,7.04435,85,
SA1,43.625351,7.04423,86,
SA1,43.625549,7.04387,87,
SA1,43.6259,7.04256,88,
SA1,43.625912,7.04188,89,
SA1,43.625858,7.04165,90,
SA1,43.625858,7.04165,91,
SA1,43.62627,7.04195,92,
SA1,43.62627,7.04195,93,
