trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
SAup01,11:40:00,11:40:00,NAXOS,1,,,,
SAup01,11:42:00,11:42:00,TAISSOUNIERES,2,,,,
SAup01,11:45:00,11:45:00,CLARA,3,,,,
SAup01,11:50:00,11:50:00,MAIN_SITE,4,,,,
SAdown01,11:50:00,11:50:00,MAIN_SITE,5,,,,
SAdown01,11:55:00,11:55:00,CLARA,6,,,,
SAdown01,11:58:00,11:58:00,TAISSOUNIERES,7,,,,
SAdown01,12:00:00,12:00:00,NAXOS,8,,,,
SAup02,12:00:00,12:00:00,NAXOS,9,,,,
SAup02,12:02:00,12:02:00,TAISSOUNIERES,10,,,,
SAup02,12:05:00,12:05:00,CLARA,11,,,,
SAup02,12:10:00,12:10:00,MAIN_SITE,12,,,,
SAdown02,12:10:00,12:10:00,MAIN_SITE,13,,,,
SAdown02,12:15:00,12:15:00,CLARA,14,,,,
SAdown02,12:18:00,12:18:00,TAISSOUNIERES,15,,,,
SAdown02,12:20:00,12:20:00,NAXOS,16,,,,
SAup03,12:20:00,12:20:00,NAXOS,17,,,,
SAup03,12:22:00,12:22:00,TAISSOUNIERES,18,,,,
SAup03,12:25:00,12:25:00,CLARA,19,,,,
SAup03,12:30:00,12:30:00,MAIN_SITE,20,,,,
SAdown03,12:30:00,12:30:00,MAIN_SITE,21,,,,
SAdown03,12:35:00,12:35:00,CLARA,22,,,,
SAdown03,12:38:00,12:38:00,TAISSOUNIERES,23,,,,
SAdown03,12:40:00,12:40:00,NAXOS,24,,,,
SAup04,12:40:00,12:40:00,NAXOS,25,,,,
SAup04,12:42:00,12:42:00,TAISSOUNIERES,26,,,,
SAup04,12:45:00,12:45:00,CLARA,27,,,,
SAup04,12:50:00,12:50:00,MAIN_SITE,28,,,,
SAdown04,12:50:00,12:50:00,MAIN_SITE,29,,,,
SAdown04,12:55:00,12:55:00,CLARA,30,,,,
SAdown04,12:58:00,12:58:00,TAISSOUNIERES,31,,,,
SAdown04,13:00:00,13:00:00,NAXOS,32,,,,
SAup05,13:00:00,13:00:00,NAXOS,33,,,,
SAup05,13:02:00,13:02:00,TAISSOUNIERES,34,,,,
SAup05,13:05:00,13:05:00,CLARA,35,,,,
SAup05,13:10:00,13:10:00,MAIN_SITE,36,,,,
SAdown05,13:10:00,13:10:00,MAIN_SITE,37,,,,
SAdown05,13:15:00,13:15:00,CLARA,38,,,,
SAdown05,13:18:00,13:18:00,TAISSOUNIERES,39,,,,
SAdown05,13:20:00,13:20:00,NAXOS,40,,,,
SAup06,13:20:00,13:20:00,NAXOS,41,,,,
SAup06,13:22:00,13:22:00,TAISSOUNIERES,42,,,,
SAup06,13:25:00,13:25:00,CLARA,43,,,,
SAup06,13:30:00,13:30:00,MAIN_SITE,44,,,,
SAdown06,13:30:00,13:30:00,MAIN_SITE,45,,,,
SAdown06,13:35:00,13:35:00,CLARA,46,,,,
SAdown06,13:38:00,13:38:00,TAISSOUNIERES,47,,,,
SAdown06,13:40:00,13:40:00,NAXOS,48,,,,
SAup07,13:40:00,13:40:00,NAXOS,49,,,,
SAup07,13:42:00,13:42:00,TAISSOUNIERES,50,,,,
SAup07,13:45:00,13:45:00,CLARA,51,,,,
SAup07,13:50:00,13:50:00,MAIN_SITE,52,,,,
SAdown07,13:50:00,13:50:00,MAIN_SITE,53,,,,
SAdown07,13:55:00,13:55:00,CLARA,54,,,,
SAdown07,13:58:00,13:58:00,TAISSOUNIERES,55,,,,
SAdown07,14:00:00,14:00:00,NAXOS,56,,,,
SAup08,14:00:00,14:00:00,NAXOS,57,,,,
SAup08,14:02:00,14:02:00,TAISSOUNIERES,58,,,,
SAup08,14:05:00,14:05:00,CLARA,59,,,,
SAup08,14:10:00,14:10:00,MAIN_SITE,60,,,,
SAdown08,14:10:00,14:10:00,MAIN_SITE,61,,,,
SAdown08,14:15:00,14:15:00,CLARA,62,,,,
SAdown08,14:18:00,14:18:00,TAISSOUNIERES,63,,,,
SAdown08,14:20:00,14:20:00,NAXOS,64,,,,
SBup01,11:45:00,11:45:00,GREEN_SIDE,1,,,,
SBup01,11:48:00,11:48:00,TEMPLIERS,2,,,,
SBup01,11:53:00,11:53:00,MAIN_SITE,3,,,,
SBdown01,11:53:00,11:53:00,MAIN_SITE,4,,,,
SBdown01,11:58:00,11:58:00,TEMPLIERS,5,,,,
SBdown01,12:00:00,12:00:00,GREEN_SIDE,6,,,,
SBup02,12:05:00,12:05:00,GREEN_SIDE,7,,,,
SBup02,12:08:00,12:08:00,TEMPLIERS,8,,,,
SBup02,12:13:00,12:13:00,MAIN_SITE,9,,,,
SBdown02,12:13:00,12:13:00,MAIN_SITE,10,,,,
SBdown02,12:18:00,12:18:00,TEMPLIERS,11,,,,
